William Shakespeare
Jane Austen
Charles Dickens
George Orwell
Virginia Woolf
J.R.R. Tolkien
C.S. Lewis
Agatha Christie
Mark Twain
Ernest Hemingway
F. Scott Fitzgerald
Emily Bront?
Charlotte Bront?
Lewis Carroll
Arthur Conan Doyle
Mary Shelley
John Milton
Geoffrey Chaucer
Thomas Hardy
Oscar Wilde
James Joyce
D.H. Lawrence
Joseph Conrad
E.M. Forster
Aldous Huxley
Graham Greene
Ian Fleming
J.K. Rowling
Stephen King
Philip K. Dick
T.S. Eliot
Sylvia Plath
William Golding
Kazuo Ishiguro
Doris Lessing
Neil Gaiman
Terry Pratchett
Douglas Adams
George R.R. Martin
Margaret Atwood
H.G. Wells
Ray Bradbury
John le Carr?
Salman Rushdie
Ian McEwan
Julian Barnes
Martin Amis
Zadie Smith
Nick Hornby
Roald Dahl
